Round,Result,Running_Money,Debug
16801,Win,504,"Result: Win, Money: $504"
16802,Win,506,"Result: Win, Money: $506"
16803,Push,506,"Result: Push, Money: $506"
16804,Win,507,"Result: Win, Money: $507"
16805,Push,507,"Result: Push, Money: $507"
16806,Loss,506,"Result: Loss, Money: $506"
16807,Loss,504,"Result: Loss, Money: $504"
16808,Loss,503,"Result: Loss, Money: $503"
16809,Loss,502,"Result: Loss, Money: $502"
16810,Win,503,"Result: Win, Money: $503"
16811,Loss,502,"Result: Loss, Money: $502"
16812,Win,503,"Result: Win, Money: $503"
16813,Loss,502,"Result: Loss, Money: $502"
16814,Win,503,"Result: Win, Money: $503"
16815,Win,504,"Result: Win, Money: $504"
16816,Loss,503,"Result: Loss, Money: $503"
16817,Push,503,"Result: Push, Money: $503"
16818,Loss,502,"Result: Loss, Money: $502"
16819,Win,503,"Result: Win, Money: $503"
16820,Loss,502,"Result: Loss, Money: $502"
16821,Loss,501,"Result: Loss, Money: $501"
16822,Loss,500,"Result: Loss, Money: $500"
16823,Loss,499,"Result: Loss, Money: $499"
16824,Win,500,"Result: Win, Money: $500"
16825,Win,501,"Result: Win, Money: $501"
16826,Loss,500,"Result: Loss, Money: $500"
16827,Win,502,"Result: Win, Money: $502"
16828,Loss,501,"Result: Loss, Money: $501"
16829,Loss,500,"Result: Loss, Money: $500"
16830,Push,500,"Result: Push, Money: $500"
16831,Loss,499,"Result: Loss, Money: $499"
16832,Win,501,"Result: Win, Money: $501"
16833,Loss,500,"Result: Loss, Money: $500"
16834,Win,501,"Result: Win, Money: $501"
16835,Push,501,"Result: Push, Money: $501"
16836,Win,503,"Result: Win, Money: $503"
16837,Win,504,"Result: Win, Money: $504"
16838,Win,505,"Result: Win, Money: $505"
16839,Win,506,"Result: Win, Money: $506"
16840,Loss,505,"Result: Loss, Money: $505"
16841,Loss,504,"Result: Loss, Money: $504"
16842,Win,506,"Result: Win, Money: $506"
16843,Win,507,"Result: Win, Money: $507"
16844,Loss,506,"Result: Loss, Money: $506"
16845,Loss,505,"Result: Loss, Money: $505"
16846,Win,506,"Result: Win, Money: $506"
16847,Win,508,"Result: Win, Money: $508"
16848,Win,509,"Result: Win, Money: $509"
16849,Loss,508,"Result: Loss, Money: $508"
16850,Win,509,"Result: Win, Money: $509"
16851,Win,510,"Result: Win, Money: $510"
16852,Loss,509,"Result: Loss, Money: $509"
16853,Win,510,"Result: Win, Money: $510"
16854,Loss,509,"Result: Loss, Money: $509"
16855,Loss,508,"Result: Loss, Money: $508"
16856,Loss,506,"Result: Loss, Money: $506"
16857,Win,507,"Result: Win, Money: $507"
16858,Loss,506,"Result: Loss, Money: $506"
16859,Win,507,"Result: Win, Money: $507"
16860,Win,508,"Result: Win, Money: $508"
16861,Win,509,"Result: Win, Money: $509"
16862,Loss,508,"Result: Loss, Money: $508"
16863,Loss,506,"Result: Loss, Money: $506"
16864,Loss,505,"Result: Loss, Money: $505"
16865,Loss,504,"Result: Loss, Money: $504"
